"Id";"Region";"ActivityHour";"StepTotal";"Calories";"TotalIntensity";"AverageIntensity"
3977333714;"West";"2016-05-05 13:00:00";325;68;18;0
3977333714;"West";"2016-05-05 14:00:00";214;56;9;0
3977333714;"West";"2016-05-05 15:00:00";89;48;4;0
3977333714;"West";"2016-05-05 17:00:00";34;45;2;0
4020332650;"East";"2016-05-05 03:00:00";0;83;0;0
4020332650;"East";"2016-05-05 10:00:00";0;83;0;0
4020332650;"East";"2016-05-05 12:00:00";0;83;0;0
4020332650;"East";"2016-05-05 14:00:00";373;117;7;0
4319703577;"North";"2016-05-05 08:00:00";74;71;5;0
4319703577;"North";"2016-05-05 10:00:00";1517;169;36;1
4319703577;"North";"2016-05-05 11:00:00";878;123;32;1
4319703577;"North";"2016-05-05 14:00:00";546;114;25;0
4319703577;"North";"2016-05-05 18:00:00";686;127;37;1
4319703577;"North";"2016-05-05 20:00:00";702;119;31;1
4319703577;"North";"2016-05-05 21:00:00";80;75;7;0
4388161847;"North";"2016-05-05 02:00:00";11;81;1;0
4388161847;"North";"2016-05-05 02:00:00";11;81;1;0
